,Instance,time_endurance,fleet_size,GAP,Runtime,NodeCount,ObjVal
0,,10.0,1.0,0.8982045567610981,7200.078677892685,2085.0,181.6241554033918
1,,10.0,2.0,0.9785122566168655,7200.358477115631,52138.0,164.84466758068396
2,,10.0,3.0,0.9782527228357291,7200.5914940834045,45446.0,162.8773978597827
3,,20.0,1.0,0.8549722032891727,7200.125421047211,1985.0,121.78343411187845
4,,20.0,2.0,0.9668112019282773,7200.254907131195,80519.0,106.72697177514962
5,,20.0,3.0,0.9682072103339471,7200.745129108429,51884.0,111.41330950375873
6,,30.0,1.0,0.7875070539178266,7201.401433944702,14108.0,85.01589555447512
7,,30.0,2.0,0.9529256916615882,7200.204273939133,202189.0,75.24571342796834
8,,30.0,3.0,0.9497548934811283,7200.519158124924,145838.0,70.49721177765758
9,,40.0,1.0,0.796795612861163,7200.428076028824,14482.0,85.09848766515641
10,,40.0,2.0,0.9404275495459029,7200.162500858307,149540.0,59.45936230676297
11,,40.0,3.0,0.9301114930252231,7200.250016927719,116816.0,50.682724075508816
12,,50.0,1.0,0.8266678727053848,7200.069206953049,1810.0,102.09167455296077
13,,50.0,2.0,0.9385344256720064,7200.148786067963,124062.0,57.62802924691508
14,,50.0,3.0,0.9215510153271875,7200.309092998505,141070.0,45.152144796074666
15,,60.0,1.0,0.8468140379949811,7200.41334605217,1926.0,108.33809888502455
16,,60.0,2.0,0.8258596212881295,7200.254585981369,255452.0,56.49003687938185
17,,60.0,3.0,0.9255681738598641,7200.580031871796,132427.0,47.5890502589999
