,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,1,10,True,50,2,0.8367906467095244,3600.3178238868713,2057.0,259.4895551717847,13.892865180969238,271.6248143970569
1,2,10,True,50,2,0.8103114604670135,3600.0357270240784,2122.0,241.5594604204709,12.665491819381714,241.82166178942347
2,3,10,True,50,2,0.7824331179809225,3600.0112659931183,2127.0,183.75760845096406,9.754809617996216,244.7979622278651
3,4,10,True,50,2,0.8060206453624006,3600.068072080612,1193.0,262.3329014785727,12.944573640823364,277.5789495881411
4,0,10,True,50,3,,,,,9.550053119659424,
5,1,10,True,50,3,0.8444422312634726,3600.018481016159,2344.0,280.64721509876966,7.1916563510894775,280.73355016750696
6,2,10,True,50,3,0.7615860641050927,3600.1896641254425,1394.0,226.6050210159218,7.324037075042725,232.73651230116698
7,3,10,True,50,3,0.8013164606687628,3600.137638092041,2129.0,250.73117069524147,7.525785446166992,284.1842286308755
8,4,10,True,50,3,0.7503395279455766,3600.0990719795227,1537.0,210.95110821078345,7.100465536117554,210.95110823239847
9,0,10,True,60,1,0.8267762303451618,3600.0304419994354,2127.0,302.6968537967326,33.27550935745239,335.1216768695292
10,1,10,True,60,1,0.857068045808112,3600.023320913315,1695.0,289.87914077171456,53.71507906913757,289.87914077171456
11,2,10,True,60,1,0.7939792592189114,3600.0224618911743,1951.0,241.1434447657334,17.01141333580017,303.4223297378702
12,3,10,True,60,1,0.8326222473689153,3600.007854938507,2068.0,270.7511699825534,29.0459463596344,270.8519213550182
13,4,10,True,60,1,0.8371580546824909,3600.028839111328,2186.0,271.62585697256964,33.571611404418945,340.4114767745342
14,0,10,True,60,2,0.7947736545879627,3600.2198297977448,1236.0,252.31244972918728,9.813991785049438,252.71736654980697
15,1,10,True,60,2,0.7440136031752813,3600.0119779109955,1496.0,189.65195121534353,9.159142255783081,215.75151736375398
16,2,10,True,60,2,0.7882373201056964,3600.0213601589203,2150.0,229.78662775243106,9.574007034301758,229.78684897757194
17,3,10,True,60,2,0.8360766467464306,3600.0133419036865,2034.0,285.3168691280084,9.68404245376587,301.04645797844967
18,4,10,True,60,2,0.7763030046143354,3600.1228868961334,1570.0,235.4136085514433,9.105855464935303,235.47024191896617
19,0,10,True,60,3,0.8209328440936791,3600.0123898983,2004.0,259.4704004709689,7.642001628875732,259.47040061848963
20,1,10,True,60,3,0.7971668132154058,3600.0125830173492,1813.0,230.7636483504544,7.094239234924316,256.68808854371997
21,2,10,True,60,3,0.8146175677591416,3600.012713909149,959.0,241.49974722492297,7.786593437194824,255.33532144962595
22,3,10,True,60,3,0.7984465128313182,3600.226338863373,1706.0,242.76975112088863,6.92866849899292,265.84240414228384
23,4,10,True,60,3,0.8099168610776625,3600.0090448856354,2125.0,261.97504975037333,7.853431940078735,273.39401306956177
24,0,10,False,20,1,0.9961540873303345,3600.082078933716,1687.0,184.82919933285507,25.402170419692993,283.3482217257138
25,1,10,False,20,1,0.9965403916569299,3600.0855991840363,2296.0,192.42453174750926,29.936078310012817,240.82632993984086
26,2,10,False,20,1,0.9986200804415595,3600.159528017044,1755.0,186.0632795157314,24.704999923706055,225.11330914547506
27,3,10,False,20,1,0.9957256995113304,3600.1504690647125,1744.0,185.63254692825683,16.368326425552368,227.38333477629388
28,4,10,False,20,1,0.9967435750009068,3600.6496181488037,2310.0,205.67469234489928,15.79282283782959,262.0182863355639
29,0,10,False,20,2,1.0,3600.0251421928406,1869.0,233.35894630437969,9.825007438659668,266.43923907117596
30,1,10,False,20,2,1.0,3600.0166358947754,2353.0,175.55021071497745,11.306382417678833,234.53770176483823
31,2,10,False,20,2,1.0,3600.1159358024597,2624.0,176.51121423805466,10.421306848526001,214.60647391831696
32,3,10,False,20,2,1.0,3600.0193049907684,1939.0,208.4610690932891,9.868457317352295,276.5098832411315
33,4,10,False,20,2,1.0,3600.018242120743,1361.0,202.28888266857805,10.350062370300293,226.89270395580485
34,0,10,False,20,3,1.0,3600.0248849391937,2195.0,196.48546040844514,10.338504552841187,223.05521721510343
35,1,10,False,20,3,,,,,20.814035177230835,
36,2,10,False,20,3,1.0,3600.0128338336945,1039.0,289.37123178329585,20.775081872940063,289.37123232344317
37,3,10,False,20,3,,,,,9.612074375152588,
38,4,10,False,20,3,1.0,3600.013184070587,2172.0,176.75507378958437,10.938421726226807,196.5478685720437
39,0,10,False,30,1,0.9956546986382548,3600.0574140548706,2535.0,188.08582897714464,78.01570224761963,238.97695594258496
40,1,10,False,30,1,0.9960260951812417,3600.0137870311737,1999.0,145.3170452348431,41.077770709991455,202.61054885692573
41,2,10,False,30,1,0.9956900764087082,3600.1001060009003,2501.0,155.33400489038377,53.54093837738037,206.3975095500519
42,3,10,False,30,1,0.9960841987546842,3600.011032819748,2686.0,128.08404863391365,42.220611572265625,218.8156827037975
43,4,10,False,30,1,0.9933730119225727,3600.0162320137024,2595.0,155.87725519967836,30.617950439453125,219.25544978728377
44,0,10,False,30,2,1.0,3600.0204350948334,2349.0,147.3465850291726,10.759276151657104,192.06387416119594
45,1,10,False,30,2,0.9999999999999979,3600.0137090682983,2294.0,134.91929772183258,11.530209302902222,148.71312749608188
46,2,10,False,30,2,0.9999970977355473,3600.034987926483,2777.0,145.50267604433463,12.372372150421143,153.98922194602002
47,3,10,False,30,2,1.0,3600.016496896744,2283.0,119.96785589201933,12.106630563735962,143.87711841097536
48,4,10,False,30,2,1.0,3600.025449991226,2145.0,99.03752263098957,13.708553552627563,156.3271125344886
49,0,10,False,30,3,1.0,3600.0185039043427,2578.0,146.7361118986056,8.618701934814453,173.90128412230771
50,1,10,False,30,3,1.0,3600.0185401439667,1378.0,110.19825692599733,9.032783508300781,128.1180716667099
51,2,10,False,30,3,0.9999999999999998,3600.011377096176,2251.0,170.38366847583424,9.537224054336548,172.81563802076283
52,3,10,False,30,3,1.0,3600.0371470451355,1922.0,131.25373641370277,9.341296911239624,145.13653175565145
53,4,10,False,30,3,,,,,9.598400831222534,
54,0,10,False,40,1,0.9925840120277224,3600.0221819877625,2777.0,144.356181537442,31.8097186088562,193.4970160485559
