,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal
0,0,10,True,20,1,,,,
1,1,10,True,20,1,0.8786683681837283,3600.014883041382,2169.0,364.8287722648979
2,2,10,True,20,1,,,,
3,4,10,True,20,1,0.9023601197747972,3600.013704061508,2225.0,445.29223843694774
4,3,10,True,20,2,0.9615361765709461,3600.0184841156006,19262.0,444.2078739341535
5,3,10,True,40,2,0.9077409560941543,3600.022348165512,2983.0,231.79943919517171
6,0,10,False,20,1,0.8995064493257805,3600.007208108902,2097.0,253.53818933421263
7,2,10,False,20,1,0.9066539855436384,3600.145138978958,2579.0,285.9352590843051
8,0,10,False,20,2,0.9656111100436473,3600.1993260383606,37176.0,305.8757011389685
9,1,10,False,20,3,0.9551852153777535,3600.0721888542175,25210.0,184.2981177098502
10,2,10,False,20,3,0.9446133612380997,3600.0227308273315,38662.0,137.0613153722515
