,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal
0,0,5,True,20,1,0.8148997161645943,7200.1417808532715,19944.0,139.0085409983288
1,1,5,True,20,1,0.8674766755710365,7200.190320968628,34232.0,232.16132616445674
2,2,5,True,20,1,0.7544863404646688,7200.057373046875,19377.0,105.2421252024746
3,3,5,True,20,1,0.8312408374216952,7200.25057220459,3422.0,248.67246537514885
4,4,5,True,20,1,0.8016387132069327,7200.302375793457,5127.0,141.95160176207898
5,0,5,True,20,2,0.915277150722292,7200.060758590698,14294.0,160.51688408294726
6,1,5,True,20,2,0.9330818335185908,7200.1929569244385,3406.0,227.90088140900818
7,2,5,True,20,2,0.8721703572624306,7200.484146118164,20101.0,124.54047066411059
