,Instance,Size,Alpha_e,time_endurancerance,fleet_size,GAP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,3,5,True,30,1,0.9159063960131562,7200.082874298096,49747.0,115.04209414234617,67.34683227539062,138.9496830386545
1,4,5,True,30,1,0.9426283426566843,7200.978271484375,94831.0,152.38126242061037,59.25160479545593,229.20643891205572
2,0,5,True,30,2,1.0,7200.493965148926,139197.0,110.0212458117048,63.92299175262451,111.51046342912136
3,1,5,True,30,2,0.9999999999998819,7200.303413391113,135263.0,88.94033337790773,62.14574384689331,93.02853670220138
4,2,5,True,30,2,0.9999999999999992,7200.226602554321,187638.0,142.08878846719585,64.64206790924072,142.29774976248743
5,3,5,True,30,2,1.0,7200.22025680542,99559.0,131.1248881344468,64.51740002632141,139.09954957170945
6,4,5,True,30,2,1.0,7200.317602157593,100322.0,80.67853145523455,64.2401430606842,99.20293504173947
7,0,5,True,30,3,1.0,7200.516241073608,64422.0,116.32306978288366,64.916335105896,159.40311553214786
8,1,5,True,30,3,1.0,7200.564990997314,96453.0,105.83005396028855,65.03684091567993,105.83005396028855
9,2,5,True,30,3,1.0,7200.263195037842,87890.0,167.46890666554924,64.147390127182,167.56279554531457
10,3,5,True,30,3,1.0,7200.232290267944,76920.0,148.97239711591195,64.8864119052887,149.55938409998924
11,4,5,True,30,3,1.0,7200.28179359436,85103.0,206.6980931451158,65.76302599906921,207.0321163403716
12,0,5,True,40,1,0.8524258159760987,7200.128198623657,45857.0,82.08973082581961,60.04735827445984,132.4717375668143
13,1,5,True,40,1,0.9028896921561498,7200.2961349487305,84786.0,97.46618917194094,66.1769597530365,119.74190987481273
14,2,5,True,40,1,0.9021143442403573,7200.576749801636,130987.0,112.28351744660142,66.67662596702576,157.3714884507272
15,3,5,True,40,1,0.8752807374836138,7200.1891040802,135441.0,123.9479938492432,65.69524836540222,134.95346991602912
16,4,5,True,40,1,0.9063226350507292,7200.298097610474,116444.0,131.32018905553568,66.85115909576416,152.53112452157998
17,0,5,True,40,2,1.0,7200.701684951782,160744.0,77.94384983093363,66.00736808776855,91.77937864322786
18,1,5,True,40,2,1.0,7200.234899520874,158561.0,82.03311398588683,65.00908398628235,104.4529177799639
19,2,5,True,40,2,1.0,7200.481582641602,174004.0,74.95561159001753,65.69230651855469,98.37440136894912
20,3,5,True,40,2,1.0,7200.271541595459,158288.0,66.82268423760121,64.25948119163513,88.0759782871567
21,4,5,True,40,2,1.0,7200.366186141968,176012.0,90.89501026849209,63.57187366485596,124.02668163821522
22,0,5,True,40,3,0.9999999999999664,7200.140842437744,82483.0,74.3515966427218,64.64625334739685,123.11462090578422
23,1,5,True,40,3,1.0,7200.660255432129,176234.0,55.187518044355556,63.508841037750244,63.8107251874413
24,2,5,True,40,3,1.0,7200.426361083984,86519.0,49.07332244488556,62.81196618080139,57.61810256271118
25,3,5,True,40,3,0.9999999999999988,7200.25990486145,67677.0,96.65370367157476,64.05563735961914,115.35582302509293
26,4,5,True,40,3,1.0,7200.1902713775635,84282.0,66.5899897195398,64.03369426727295,77.75948714764527
27,0,5,True,50,1,0.9314799623887612,7200.466846466064,99686.0,121.83670219378975,65.25642323493958,153.42148467782616
28,1,5,True,50,1,0.8455983333564272,7200.206348419189,122083.0,123.09610942105341,65.63142085075378,139.04840608937764
29,2,5,True,50,1,0.8970712581777738,7200.209833145142,238848.0,102.43792162924868,64.51132130622864,132.87619738542978
30,3,5,True,50,1,0.932630954108869,7200.115753173828,145726.0,116.9550050654618,63.83521389961243,151.5290179069361
31,4,5,True,50,1,0.8152835736208197,7200.167798995972,144129.0,120.12613938231657,63.89306950569153,155.9541035659149
32,0,5,True,50,2,0.9999999999999684,7200.477407455444,318819.0,83.14238025280383,63.06329655647278,100.96710283452764
33,1,5,True,50,2,0.9999999999999971,7200.154270172119,155654.0,69.00059425549917,62.939621925354004,99.90156111654458
34,2,5,True,50,2,1.0,7200.478216171265,203339.0,72.1791186274668,63.80729818344116,107.88045313810171
35,3,5,True,50,2,1.0,7200.530401229858,132790.0,83.60096684890223,64.46049404144287,114.48459915712318
36,4,5,True,50,2,0.9999999999999998,7200.37345123291,162128.0,75.84180457592673,64.3997151851654,105.9468814557798
37,0,5,True,50,3,0.9999999999999993,7200.33119392395,111071.0,53.975006894072315,63.024391651153564,71.47490324197969
38,1,5,True,50,3,0.9999999999999901,7200.320524215698,122047.0,61.42441672205342,64.53636240959167,79.63909159655917
39,2,5,True,50,3,1.0,7200.7340450286865,151442.0,53.354538004018835,64.82358264923096,73.11681357931687
40,3,5,True,50,3,1.0,7200.562929153442,210901.0,72.74465231166121,64.41766047477722,85.08810365927012
41,4,5,True,50,3,1.0,7201.453262329102,247514.0,49.57245672140998,63.73948097229004,68.04263930607925
42,0,5,True,60,1,0.9077488123079905,7200.839710235596,75104.0,122.47177235366438,65.27337837219238,181.72590840224646
43,1,5,True,60,1,0.7469457296688932,7200.394903182983,152884.0,112.2242231619046,59.44397163391113,154.86217820719648
44,2,5,True,60,1,0.8929587743318365,7200.482704162598,108541.0,109.00604800485098,62.69629096984863,165.42291504144288
45,3,5,True,60,1,0.9119615575926815,7200.123247146606,107583.0,114.25441684519278,64.84748363494873,144.2353074519682
46,4,5,True,60,1,0.8845969167464109,7200.153903961182,136364.0,133.0726813834554,55.997193574905396,165.881544581545
47,0,5,True,60,2,0.9999999999999267,7201.515245437622,244618.0,60.24962451958629,64.12345552444458,70.48287965655126
