,Instance,Size,Alpha_e,time_endurance,fleet_size,GAP,Runtime,NodeCount,ObjVal
0,3,5,False,40,1,0.8233502032503172,7201.282609939575,110986.0,116.64894614881281
1,4,5,False,40,1,0.7609089248187045,7200.282594680786,150253.0,112.59362950570693
2,0,5,False,40,2,0.8377321583015618,7200.522487640381,113140.0,63.38054480202211
3,1,5,False,40,2,0.8040071747405415,7200.310487747192,73001.0,73.03340767402422
4,2,5,False,40,2,0.9305849038455514,7201.18124961853,150940.0,83.02681674434871
5,3,5,False,40,2,0.8261350028492508,7200.490705490112,198565.0,67.80146941862672
6,4,5,False,40,2,0.8188670313245475,7200.776197433472,67314.0,92.29596733410675
7,0,5,False,40,3,0.8930941973291755,7200.375616073608,148672.0,61.18903594066191
8,1,5,False,40,3,0.9566715884953153,7200.664222717285,67255.0,113.4797096348019
9,2,5,False,40,3,0.8956015586536851,7201.467929840088,190308.0,48.14370777866999
10,3,5,False,40,3,0.8176228799120282,7200.515291213989,161027.0,60.48647101644255
11,4,5,False,40,3,0.9185834465022852,7200.355522155762,83531.0,55.52041059177314
12,0,5,False,50,1,0.67204507498842,7200.3321895599365,77295.0,123.7113407232223
13,1,5,False,50,1,0.6283379437593449,7200.3983154296875,264450.0,73.52390394457535
14,2,5,False,50,1,0.7496875392141568,7200.208557128906,63508.0,101.71906278937752
15,3,5,False,50,1,0.6144343011803467,7200.19268989563,91305.0,88.79789891644347
16,4,5,False,50,1,0.6802519522852095,7200.2410678863525,152565.0,90.33695050071879
17,0,5,False,50,2,0.8932227871337055,7200.551622390747,101233.0,75.4608658847629
18,1,5,False,50,2,0.9408166550576273,7201.156023025513,101191.0,62.92281587845659
19,2,5,False,50,2,0.9214499670948777,7201.796792984009,266713.0,87.90697204386379
20,3,5,False,50,2,0.8242645477793467,7200.391653060913,96525.0,65.99953551832931
21,4,5,False,50,2,0.8624780242093254,7200.474252700806,138874.0,72.95412417528097
22,0,5,False,50,3,0.8054260631072853,7200.456136703491,117601.0,63.21334339233447
23,1,5,False,50,3,0.8938501548286067,7200.34395980835,94840.0,55.490681158552135
24,2,5,False,50,3,0.8523309783788358,7200.590280532837,120931.0,74.78092394870077
25,3,5,False,50,3,0.7379359368369381,7202.663417816162,106775.0,50.28826277483907
26,4,5,False,50,3,0.85115952312261,7200.590530395508,211634.0,56.467126159263714
27,0,5,False,60,1,0.800457400729406,7200.236047744751,233343.0,78.11203195476163
28,1,5,False,60,1,0.7103517947938994,7200.388498306274,97452.0,99.86537303841217
29,2,5,False,60,1,0.685698479552505,7200.304840087891,102802.0,82.62707528294789
30,3,5,False,60,1,0.7305248952309363,7200.237579345703,78834.0,131.81745788446324
