,Instance,Size,Alpha_e,time_endurancerance,fleet_sizeP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
97,4,10,False,40,1,0.8247558433926412,7200.140537261963,4748.0,230.84979819042758,75.81831002235413,230.84979819042758
98,0,10,False,40,2,0.8805147826405174,7200.247797012329,2132.0,200.53850457220588,63.91014552116394,200.53850457220588
99,1,10,False,40,2,0.8299613428404335,7200.172031402588,2167.0,157.45025824165737,71.76101875305176,166.79533817424877
100,2,10,False,40,2,0.9044165774960444,7200.679180145264,51592.0,156.20509194728209,55.10470962524414,156.20509194728209
101,3,10,False,40,2,0.8707110615605084,7200.30334854126,3330.0,186.33728773545798,74.91076350212097,186.34231418734592
102,4,10,False,40,2,0.8796647529856031,7200.245718002319,2157.0,175.5504646655931,76.25215077400208,175.5504646655931
103,0,10,False,40,3,0.9287049634952188,7200.762994766235,55605.0,124.48145109827645,73.35284066200256,124.65399885497665
104,1,10,False,40,3,0.9745959649635947,7200.713045120239,48121.0,135.5221536573716,59.776196241378784,135.5221536573716
105,2,10,False,40,3,0.9617163113752216,7201.269203186035,52095.0,132.7842931970683,64.09066271781921,151.33729120834843
106,3,10,False,40,3,0.9465140679898582,7200.911703109741,61552.0,130.02138314139683,74.85392212867737,131.72617552252825
107,4,10,False,40,3,0.9928697358621478,7200.691139221191,34246.0,134.7175621116273,74.905770778656,171.09433285133883
108,0,10,False,50,1,0.8204383141338223,7200.191059112549,15125.0,233.09958683784762,110.7289810180664,233.1361190959944
109,1,10,False,50,1,0.8351503135179648,7200.310457229614,10666.0,240.4840123899467,69.47727346420288,241.89374426706047
110,2,10,False,50,1,0.7676370500010188,7200.1778202056885,3237.0,179.74528858513094,88.74379515647888,249.88472598707978
111,3,10,False,50,1,0.7911261756084997,7200.237127304077,4904.0,229.7599986649622,82.9053635597229,265.3208327356217
112,4,10,False,50,1,0.781688134641567,7200.1357707977295,10175.0,221.94220530753412,84.29474377632141,247.41319265898707
113,0,10,False,50,2,0.8488959321903758,7200.251602172852,2429.0,165.64033930856397,68.22461104393005,165.64033930856397
114,1,10,False,50,2,0.8048293954019057,7200.216020584106,7727.0,138.62746129491765,53.6405987739563,160.26679704034962
115,2,10,False,50,2,0.8043665528908902,7200.3883266448975,16501.0,157.42056439887926,73.21640920639038,191.12946810723204
116,3,10,False,50,2,0.8502328271932216,7200.305137634277,10186.0,146.2648906066737,62.296459674835205,163.53968006739098
117,4,10,False,50,2,0.8314866941869701,7200.264436721802,6455.0,184.60487934995624,73.33188056945801,185.76402232143244
118,0,10,False,50,3,0.905416487788914,7200.299674987793,2144.0,122.60187074083045,64.25415754318237,122.60187074083045
119,1,10,False,50,3,0.8906091461230075,7200.590408325195,2399.0,143.14579023586816,54.26788592338562,143.26078301099264
120,2,10,False,50,3,0.9717012016600263,7200.682529449463,73186.0,139.34859682776636,74.67337036132812,140.0266557102717
121,3,10,False,50,3,0.9730966928126908,7201.059259414673,56347.0,93.51136464205688,62.29446458816528,119.73252693968212
122,4,10,False,50,3,0.8832449555261752,7200.530870437622,2393.0,118.7759952867843,69.23391270637512,118.80784218073293
123,0,10,False,60,1,0.846589498222458,7200.203054428101,12182.0,242.93974583746999,93.44319319725037,254.5065754795802
124,1,10,False,60,1,0.8069564242334314,7200.4219760894775,14905.0,207.5515080911081,94.55621695518494,265.2690745210216
125,2,10,False,60,1,0.6933573221543664,7200.783435821533,14871.0,202.97101142235084,104.71514344215393,268.0896775904235
126,3,10,False,60,1,0.7553712923438515,7200.317836761475,14507.0,191.5651041586276,88.52045321464539,194.65846642153193
127,4,10,False,60,1,0.7762115366416711,7200.213937759399,5863.0,245.26825337425265,108.22172737121582,245.4987940688962
128,0,10,False,60,2,0.8864603304027567,7200.394025802612,122103.0,146.32753797075637,72.50921702384949,146.39883349996583
129,1,10,False,60,2,0.82735802503363,7200.299701690674,2297.0,162.46572320762297,91.14932441711426,162.5622292051761
130,2,10,False,60,2,0.8526832594467928,7200.203918457031,2285.0,159.15543538685114,77.21058440208435,174.6463588871631
131,3,10,False,60,2,0.9021489070003531,7200.185758590698,2359.0,166.52944403652006,57.27627635002136,179.8787764856628
132,4,10,False,60,2,0.8784348061410733,7200.182546615601,2201.0,201.60474133533305,84.48627018928528,203.49064820548688
133,0,10,False,60,3,0.9435751468667664,7200.841697692871,70299.0,116.00045238667286,68.92375588417053,116.06563753445201
134,1,10,False,60,3,0.9054646608118484,7200.513134002686,2169.0,118.87182723807875,72.18003702163696,118.91305173553634
135,2,10,False,60,3,0.934986834734787,7200.311603546143,2260.0,149.0093809157385,69.8871705532074,149.00938102486583
136,3,10,False,60,3,0.9511257799166308,7200.778507232666,33918.0,104.36736690491149,70.9752881526947,112.66581448848618
137,4,10,False,60,3,0.9805101257837225,7200.99967956543,48863.0,103.48987643158858,65.68339014053345,120.05252056717147
138,0,15,True,20,1,0.791465619449702,7200.174236297607,2134.0,318.81209684000726,284.63710165023804,318.92833401179564
139,1,15,True,20,1,0.7583449521448042,7200.15291595459,2098.0,282.5167660309851,281.6399128437042,283.16369528733
140,2,15,True,20,1,0.7987318204447992,7200.188409805298,2079.0,332.90915918026343,279.1297254562378,332.90915918026343
141,3,15,True,20,1,0.7737562605665319,7200.140592575073,2171.0,312.10732169419646,278.91898107528687,323.1885651533168
142,4,15,True,20,1,0.7993071466381546,7200.178316116333,2260.0,353.2295309436241,258.3929464817047,353.2428712485914
143,0,15,True,20,2,0.8768032054809556,7200.721305847168,2020.0,295.2262956286077,213.72543358802795,295.2262956286077
144,1,15,True,20,2,0.8539504514355367,7200.734703063965,2024.0,236.82288087356153,219.80217933654785,236.91505698761526
145,2,15,True,20,2,,,,,Grid,Stages
146,3,15,True,20,2,0.8909881226078292,7200.812442779541,1058.0,341.1862009066328,203.2959668636322,341.4085453078352
147,4,15,True,20,2,0.8995709050915219,7200.897846221924,767.0,330.6869540417293,232.49623775482178,330.9165917523437
148,0,15,True,20,3,0.9371248569686431,7202.645578384399,84.0,335.89997914996763,210.82134890556335,335.9771068196093
149,1,15,True,20,3,0.9112590581673806,7202.279909133911,119.0,291.1915445762086,213.26553344726562,291.22901068220125
150,2,15,True,20,3,0.921229077497905,7201.157117843628,356.0,273.64494675554937,209.18861436843872,273.64498859537287
151,3,15,True,20,3,0.9270683047951459,7202.081882476807,341.0,296.1709828937304,202.49350333213806,296.27895138345514
152,4,15,True,20,3,0.9280867875516056,7202.395576477051,349.0,301.5136004538947,211.70976400375366,301.5395342551509
153,0,15,True,30,1,0.7944488278695536,7200.196125030518,2069.0,346.99093263254036,298.64546251296997,347.1215638149056
154,1,15,True,30,1,0.7739082939791049,7200.155220031738,2268.0,283.87738916061016,305.4762029647827,284.12618948190436
155,2,15,True,30,1,0.7979749238827389,7200.234998703003,2135.0,356.80588482606373,299.90517020225525,356.80588482606373
156,3,15,True,30,1,0.7936899236998995,7200.19095993042,2189.0,332.0264230517377,310.15022015571594,332.0327298056285
157,4,15,True,30,1,0.7832166629434253,7200.20115852356,2091.0,342.1385285794645,304.06317043304443,342.1385285794645
158,0,15,True,30,2,0.874069814674513,7200.720518112183,2122.0,265.86723073152933,222.25076293945312,265.9395348489709
