,Instance,Size,Alpha_e,time_endurance,fleet_size,GAP,Runtime,NodeCount,ObjVal
120,3,5,False,60,1,0.8573462494874695,7200.331232070923,142390.0,86.40755678598956
121,4,5,False,60,1,0.9050863665648594,7200.117134094238,105739.0,77.8785271920521
122,0,5,False,60,2,1.0,7201.023727416992,227730.0,70.85580772476575
123,1,5,False,60,2,1.0,7200.208547592163,197686.0,66.91261189337025
124,2,5,False,60,2,1.0,7200.6960525512695,131212.0,63.746052773285314
125,3,5,False,60,2,0.9999999999999777,7200.430311203003,146072.0,66.76706565821678
126,4,5,False,60,2,1.0,7200.83696937561,205279.0,39.9797315533563
127,0,5,False,60,3,1.0,7200.311569213867,84450.0,45.013624548276574
128,1,5,False,60,3,1.0,7200.222429275513,76432.0,41.77485443201949
129,2,5,False,60,3,1.0,7200.291067123413,97533.0,42.55787573175484
130,3,5,False,60,3,0.9999999999999999,7201.161996841431,123325.0,56.774930573543664
131,4,5,False,60,3,1.0,7200.627899169922,134366.0,50.9900364294532
132,0,10,True,20,1,0.9908229196204422,7200.234058380127,2484.0,510.8870066047011
133,1,10,True,20,1,0.9907710317873385,7200.155385971069,2013.0,501.35519198171
134,2,10,True,20,1,0.9917522841983377,7200.964601516724,2417.0,557.1030550731709
135,3,10,True,20,1,,,,
136,4,10,True,20,1,,,,
137,0,10,True,20,2,,,,
138,1,10,True,20,2,,,,
139,2,10,True,20,2,,,,
140,3,10,True,20,2,,,,
141,4,10,True,20,2,,,,
142,0,10,True,20,3,,,,
143,1,10,True,20,3,,,,
144,2,10,True,20,3,,,,
145,3,10,True,20,3,,,,
146,4,10,True,20,3,,,,
147,0,10,True,30,1,0.9664190165285228,7200.227281570435,12444.0,286.6485913040044
148,1,10,True,30,1,0.9728279493604969,7203.011415481567,2308.0,259.20027127129026
149,2,10,True,30,1,0.984502239630069,7200.315664291382,2331.0,419.14917436527844
150,3,10,True,30,1,0.9742236535346502,7200.339790344238,24529.0,288.96554040350895
151,4,10,True,30,1,0.9777001820432285,7200.1394901275635,1962.0,261.507266722318
152,0,10,True,30,2,0.999999999999999,7200.19334602356,18067.0,284.98871051220203
153,1,10,True,30,2,1.0,7200.889083862305,28924.0,259.71114975024415
154,2,10,True,30,2,,,,
155,3,10,True,30,2,,,,
156,4,10,True,30,2,1.0,7201.212724685669,12294.0,260.2905764477446
157,0,10,True,30,3,,,,
158,1,10,True,30,3,,,,
159,2,10,True,30,3,,,,
160,3,10,True,30,3,,,,
161,4,10,True,30,3,,,,
162,0,10,True,40,1,0.9633753145386945,7201.656936645508,2592.0,254.0326112227773
163,1,10,True,40,1,0.963248397145957,7201.676490783691,19663.0,276.501872485747
164,2,10,True,40,1,0.9793142832045807,7200.130332946777,2223.0,260.44841094612565
165,3,10,True,40,1,0.9854169365257837,7200.151062011719,2055.0,410.53232161680273
166,4,10,True,40,1,0.9829239281457246,7200.159379959106,1893.0,273.3710730553939
167,0,10,True,40,2,0.9999999999996088,7200.765079498291,15413.0,204.24997312235374
168,1,10,True,40,2,0.9999999999997726,7200.720851898193,21541.0,351.54232212714766
169,2,10,True,40,2,0.9999999999993987,7200.956192016602,16627.0,132.9195722982341
170,3,10,True,40,2,0.9999999999994927,7200.4146938323975,18409.0,157.55022235646254
171,4,10,True,40,2,0.9999999999996202,7200.400495529175,17286.0,210.40736723002345
172,0,10,True,40,3,0.9999999999994386,7201.47686958313,14659.0,142.35974985480377
173,1,10,True,40,3,,,,
174,2,10,True,40,3,0.9999999999997683,7201.30909538269,25853.0,199.67619697005568
175,3,10,True,40,3,0.9999999999995199,7201.174375534058,15782.0,166.48148085972232
176,4,10,True,40,3,0.9999999999994094,7200.895078659058,14607.0,135.31192610322245
177,0,10,True,50,1,0.9744887072273101,7200.070596694946,2253.0,280.32886863665885
178,1,10,True,50,1,0.9843333770693435,7200.114051818848,2000.0,262.65888920728145
179,2,10,True,50,1,,,,
180,3,10,True,50,1,0.9793749793454236,7200.222270965576,2373.0,266.8905847981121
181,4,10,True,50,1,0.9709308432172027,7200.2827434539795,12946.0,257.7476968826346
182,0,10,True,50,2,1.0,7200.466033935547,29550.0,176.0094972068531
183,1,10,True,50,2,0.999999999999998,7200.805883407593,15833.0,157.63209793306146
184,2,10,True,50,2,1.0,7201.3326625823975,14703.0,163.57051730213152
185,3,10,True,50,2,0.9999999999999729,7200.932653427124,11423.0,178.17394386238738
186,4,10,True,50,2,1.0,7200.319467544556,11791.0,156.5186179732588
187,0,10,True,50,3,1.0,7201.532148361206,14543.0,191.15053395062668
188,1,10,True,50,3,0.9999999999999999,7201.157432556152,15513.0,123.41195803751955
189,2,10,True,50,3,1.0,7201.3652057647705,16282.0,142.95221481294595
190,3,10,True,50,3,0.99999999999999,7200.938137054443,13274.0,125.36399541806102
191,4,10,True,50,3,1.0,7200.480449676514,14449.0,142.08030166751078
192,0,10,True,60,1,0.981519645610105,7203.324554443359,2593.0,252.41771674899726
