,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal,HeurTime,HeurVal
0,4,5,True,20,1,0.840741074324117,7200.115898132324,38714.0,121.38557239222347,64.19638013839722,138.85708241771036
1,0,5,True,20,2,0.9223025013689256,7200.101594924927,42885.0,154.59432199912763,63.0294988155365,195.05092576988997
2,1,5,True,20,2,0.9175339771933978,7200.822751998901,28566.0,165.5738154454127,63.29672884941101,228.52547833982857
3,2,5,True,20,2,0.8649665121625519,7200.557266235352,40910.0,119.28573241108779,61.89453411102295,133.31690316248492
4,3,5,True,20,2,0.9492411863629132,7200.317958831787,22747.0,235.84190209237306,64.70292568206787,274.55336742792446
5,4,5,True,20,2,0.9243166965227284,7200.584203720093,43513.0,161.58770432234007,66.09929394721985,162.6322665978102
6,0,5,True,20,3,0.9480798962803587,7201.230527877808,36843.0,157.2570169824117,65.01718854904175,161.4740998372003
7,1,5,True,20,3,0.9081465627649278,7200.361057281494,50235.0,124.49355119333431,66.15410280227661,143.035407192447
8,2,5,True,20,3,0.9022568559390128,7200.522298812866,52511.0,81.22369036802976,63.64997434616089,89.00104824427233
9,3,5,True,20,3,0.9462888246697029,7200.397886276245,44677.0,216.0442996567446,61.93541145324707,220.37103008850553
10,4,5,True,20,3,0.9481201360684156,7200.177713394165,58078.0,186.88104443001464,47.6007444858551,186.95472696144068
11,0,5,True,30,1,0.8531122393929407,7200.2552852630615,57565.0,172.01206736558123,66.00753855705261,204.48411500900113
12,1,5,True,30,1,0.8188957978479215,7200.222074508667,60295.0,143.22209646660232,65.23061537742615,191.83526571746265
13,2,5,True,30,1,0.812496534513032,7200.128448486328,43651.0,106.45267756947399,65.0181655883789,140.7044464296294
14,3,5,True,30,1,0.8348508762599472,7200.09358215332,48279.0,130.05737912723575,63.941882610321045,190.03966201746988
15,4,5,True,30,1,0.8158854193354678,7200.178615570068,52847.0,122.51976368728647,65.8728985786438,155.65074405570368
16,0,5,True,30,2,0.8625994184678341,7200.154197692871,123757.0,87.89179260845481,63.93354558944702,110.49153425633392
17,1,5,True,30,2,0.809063208510393,7200.252681732178,68692.0,93.94242681157706,63.89119863510132,126.79063856074647
18,2,5,True,30,2,0.9075972663791795,7200.2190017700195,45859.0,123.49202315367664,59.53757166862488,124.58236700247625
19,3,5,True,30,2,0.8265722646820768,7201.703966140747,82013.0,69.50021216243465,66.59097862243652,82.45003176410762
20,4,5,True,30,2,0.8512701923231758,7200.176025390625,106892.0,87.04130482473508,68.10493183135986,92.6582893019489
21,0,5,True,30,3,0.8997175971485681,7200.252655029297,63799.0,78.07424749507098,63.26839780807495,93.25559456760882
22,1,5,True,30,3,0.9456387483162584,7200.238130569458,97895.0,129.32853185086785,63.307756662368774,149.21000833508677
23,2,5,True,30,3,0.9529323114729927,7200.274866104126,315200.0,127.67805751200248,64.91645359992981,161.4267732241144
24,3,5,True,30,3,0.8775582672367387,7200.449083328247,120357.0,94.30027393737525,61.64854574203491,100.60745034069625
25,4,5,True,30,3,0.9192325722703185,7200.570743560791,40566.0,116.2390373320768,63.536097049713135,136.35588252812872
26,0,5,True,40,1,0.8365689737057801,7200.158107757568,60628.0,117.4494979613958,65.49086999893188,159.68587583564099
27,1,5,True,40,1,0.8195980170164814,7200.149425506592,38583.0,110.23350902453832,67.64116954803467,144.19917120071202
28,2,5,True,40,1,0.7977050320907686,7200.117755889893,64719.0,125.06110068070562,75.92801785469055,177.12448342644592
29,3,5,True,40,1,0.7984259727122148,7200.173358917236,64631.0,111.11219819013166,66.72656464576721,155.17501694645975
30,4,5,True,40,1,0.7948910111740819,7200.309534072876,56876.0,129.36236872482425,68.28600573539734,194.35355374889224
31,0,5,True,40,2,0.8408008846904809,7200.290691375732,91735.0,89.4441464637981,64.72596263885498,96.05494438143144
