,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal
0,1,5,True,60,1,0.7044943205017145,7200.38289642334,69017.0,84.08316895154341
1,2,5,True,60,1,0.7328777935824918,7200.218402862549,118143.0,89.92066667789864
2,3,5,True,60,1,0.7191787237303687,7200.211931228638,64433.0,77.81394396043662
3,4,5,True,60,1,0.6491385073001764,7200.20029258728,125769.0,89.43813710394419
4,0,5,True,60,2,0.7875952097394376,7200.372953414917,151504.0,62.553230671194775
5,1,5,True,60,2,0.7740596575721296,7201.468143463135,96313.0,64.23537792567689
6,2,5,True,60,2,0.7854965748819773,7200.258838653564,128824.0,63.802949533940165
7,3,5,True,60,2,0.8548740713723274,7200.289743423462,135083.0,77.23774965984144
8,4,5,True,60,2,0.7901968576257219,7200.995342254639,139983.0,77.6105093045417
9,0,5,True,60,3,0.8475226819153359,7200.738037109375,116315.0,60.74037523550109
10,1,5,True,60,3,0.7637730145403405,7200.576101303101,300429.0,51.55239455908204
11,2,5,True,60,3,0.8293083476558623,7202.223260879517,121186.0,54.56928558580438
12,3,5,True,60,3,0.8477316634660095,7200.540071487427,185512.0,77.82120338059634
13,4,5,True,60,3,0.8144368775780813,7200.382167816162,116338.0,52.43162157721998
14,0,5,False,20,1,0.7909628134514824,7200.236661911011,42028.0,109.43588889867937
15,1,5,False,20,1,0.7868198269086712,7200.242435455322,57829.0,98.9848084883418
16,2,5,False,20,1,0.7669761163991115,7200.170387268066,53885.0,156.4851744950533
17,3,5,False,20,1,0.8110421178983895,7200.339189529419,124027.0,92.00601314174007
18,4,5,False,20,1,0.8258657921160553,7200.264102935791,58810.0,131.48179843511528
19,0,5,False,20,2,0.9272026252234674,7200.381875991821,126068.0,79.99999905500962
20,1,5,False,20,2,0.9394548784061214,7200.511013031006,14942.0,183.60042327569585
21,2,5,False,20,2,0.8732292235644402,7200.262567520142,47856.0,125.87507818640391
22,3,5,False,20,2,0.9135391666490906,7200.415229797363,77954.0,124.8184362043652
23,4,5,False,20,2,0.938936858866897,7200.218753814697,23475.0,193.44929229050965
24,0,5,False,20,3,0.9694240855320203,7200.4140625,46381.0,158.97389082635135
25,1,5,False,20,3,0.963765347216539,7201.650421142578,46207.0,135.34051170394585
26,2,5,False,20,3,0.9349115672150593,7200.251539230347,55005.0,138.73588778153484
27,3,5,False,20,3,0.9553570661530504,7201.221668243408,105414.0,92.74352905181348
28,4,5,False,20,3,0.9666162736203379,7200.397249221802,33644.0,168.11567672420557
29,0,5,False,30,1,0.7210987623336351,7200.196495056152,59596.0,96.74247404866983
30,1,5,False,30,1,0.7515216664788199,7200.157135009766,55942.0,94.99817688984223
31,2,5,False,30,1,0.7255651350458074,7200.254261016846,39349.0,175.93072065320123
32,3,5,False,30,1,0.6497990358473875,7200.149032592773,51552.0,101.59521828063174
33,4,5,False,30,1,0.7114683858438221,7200.544954299927,274540.0,82.02967647693762
34,0,5,False,30,2,0.8594879538824565,7200.212781906128,76348.0,126.89605526400426
35,1,5,False,30,2,0.885817032066448,7200.7233810424805,95414.0,90.1673566347126
36,2,5,False,30,2,0.9161319856717188,7200.392488479614,66762.0,133.50943287764636
37,3,5,False,30,2,0.8748208099899393,7200.349990844727,109371.0,104.17253126481181
38,4,5,False,30,2,0.8771710546783453,7200.697435379028,92858.0,83.69243146251392
39,0,5,False,30,3,0.9116148608972049,7200.622743606567,66651.0,118.07644880601045
40,1,5,False,30,3,0.9427322399566875,7200.295747756958,102420.0,108.1973792702342
41,2,5,False,30,3,0.8905025398198152,7201.443344116211,26714.0,99.76420841511492
42,3,5,False,30,3,0.8959223039262441,7200.241943359375,64836.0,101.0533307593175
43,4,5,False,30,3,0.9285058845223932,7200.6367263793945,65427.0,110.46121945233001
44,0,5,False,40,1,0.7317486215023682,7200.319309234619,133723.0,86.52596249992331
45,1,5,False,40,1,0.7316991378447284,7200.93705368042,95357.0,124.26029218273787
46,2,5,False,40,1,0.6255429360240697,7200.225353240967,78902.0,78.68388926159172
