,Instance,Size,Alpha_e,Capacity,Num_Drones,GAP,Runtime,NodeCount,ObjVal
0,1,10,False,30,1,,,,
1,2,10,False,30,1,0.8388237426169869,7200.451976776123,20222.0,239.32208397848572
2,3,10,False,30,1,0.8032712213769179,7200.14691734314,4242.0,190.53755746888947
3,4,10,False,30,1,0.834067881019542,7200.175338745117,4148.0,348.9555898517218
4,0,10,False,30,2,,,,
5,1,10,False,30,2,0.8854312788555937,7200.89605140686,24305.0,187.91768638530004
6,2,10,False,30,2,,,,
7,3,10,False,30,2,,,,
8,4,10,False,30,2,0.8372632317891279,7200.424217224121,13642.0,170.16187215412828
9,0,10,False,30,3,,,,
10,1,10,False,30,3,,,,
11,2,10,False,30,3,,,,
12,3,10,False,30,3,0.8960864497525365,7200.596412658691,12743.0,187.03613601184276
13,4,10,False,30,3,,,,
14,0,10,False,40,1,0.811894703219093,7200.150617599487,4553.0,180.4261645166979
15,1,10,False,40,1,0.83563582076566,7200.205526351929,3517.0,238.17850058391448
16,2,10,False,40,1,0.7392013569492131,7200.219844818115,35603.0,194.67040724296865
17,3,10,False,40,1,0.778254992335086,7200.193099975586,27373.0,219.0931673548964
18,4,10,False,40,1,0.8169761227666912,7200.2657108306885,10021.0,221.03716512507316
19,0,10,False,40,2,,,,
20,1,10,False,40,2,0.8216463048195658,7200.5620040893555,30970.0,150.10976057307857
21,2,10,False,40,2,0.8698130673645322,7200.56748008728,11547.0,139.9166251664248
22,3,10,False,40,2,,,,
23,4,10,False,40,2,,,,
24,0,10,False,40,3,,,,
25,1,10,False,40,3,0.8900399575443442,7200.287817001343,6902.0,136.44613514738853
26,2,10,False,40,3,0.9373887486218542,7200.471134185791,2340.0,162.4553455370093
27,3,10,False,40,3,0.9624485766800966,7200.649570465088,35813.0,157.34922468924628
28,4,10,False,40,3,0.884615930940494,7200.70560836792,15807.0,145.16317155439995
29,0,10,False,50,1,0.80100589039532,7202.433931350708,20555.0,210.3366520276101
30,1,10,False,50,1,0.8188919287453494,7200.3428592681885,8335.0,218.63752273681786
31,2,10,False,50,1,0.8051284504980818,7200.5001220703125,33767.0,214.32654333623162
32,3,10,False,50,1,0.8075214643317727,7200.220762252808,35785.0,249.33091431267553
33,4,10,False,50,1,0.7862629059786029,7200.672143936157,15519.0,226.69259666891426
34,0,10,False,50,2,,,,
35,1,10,False,50,2,,,,
36,2,10,False,50,2,0.7932847978342943,7200.5992794036865,14789.0,150.2692485426541
37,3,10,False,50,2,0.8867378932093696,7201.027936935425,59405.0,183.0371063395782
38,4,10,False,50,2,,,,
39,0,10,False,50,3,,,,
40,1,10,False,50,3,0.9120631060649261,7200.352695465088,2336.0,178.06895575369018
41,2,10,False,50,3,0.8593890732740559,7200.372224807739,14909.0,135.55430816270507
42,3,10,False,50,3,,,,
43,4,10,False,50,3,0.987359275183782,7201.048357009888,52179.0,155.8944780452724
44,0,10,False,60,1,0.8512565777937819,7200.2333984375,26169.0,250.56239635888807
45,1,10,False,60,1,0.8316497657783877,7200.298126220703,15298.0,237.994829427197
46,2,10,False,60,1,0.7261929015147652,7200.933847427368,30162.0,227.31176364851314
47,3,10,False,60,1,0.76950299204327,7200.397718429565,9926.0,203.3099010472021
48,4,10,False,60,1,0.7444060511990692,7200.209178924561,22396.0,214.56341635972143
49,0,10,False,60,2,,,,
50,1,10,False,60,2,0.8511008607115604,7200.406404495239,2308.0,178.69259800845285
51,2,10,False,60,2,0.8472480238262999,7200.647417068481,10119.0,153.8768275875095
52,3,10,False,60,2,0.9504939037002321,7200.280752182007,2345.0,250.3767717531228
53,4,10,False,60,2,,,,
54,0,10,False,60,3,,,,
55,1,10,False,60,3,0.897687550343609,7201.116104125977,39248.0,107.63165016306452
56,2,10,False,60,3,0.9469372984869318,7200.698404312134,11586.0,174.0140018129055
57,3,10,False,60,3,,,,
58,4,10,False,60,3,,,,
59,0,15,True,20,1,,,,
60,1,15,True,20,1,,,,
